Study,Assignment unit,Research Design,Publication Status,Grade Level,Socio-Economic Status,Targeted Population
Olson et al. 2020,Teacher/Class,RCT,Published,7-12,Low SES,All
PCER (2008),School,RCT,Published,Pre-k,Not reported,All
Portes et al. 2018,Teacher/Class,RCT,Unpublished,3-6,Not reported,Specific
Powell et al. 2010,Teacher/Class,RCT,Published,Pre-k,Not reported,All
Prast et al. 2018,School,RCT,Published,Mixed,Not reported,All
Quint et al. 2015,School,RCT,Unpublished,3-6,Average/High SES,All
Randel et al. 2016,School,RCT,Published,3-6,Average/High SES,All
Reid et al. 2014,School,QED,Unpublished,K-2,Low SES,All
Reinke et al. 2018,Teacher/Class,RCT,Published,Mixed,Low SES,All
Resendez & Azin 2009,Teacher/Class,RCT,Unpublished,Mixed,Average/High SES,All
Resendez & Azin 2012,School,RCT,Unpublished,K-2,Average/High SES,All
Robinson-Smith et al. 2018,School,RCT,Unpublished,Pre-k,Average/High SES,All
Rose 2017,School,RCT,Unpublished,3-6,Low SES,All
Rudd et al. 2017,School,RCT,Unpublished,3-6,Average/High SES,All
Rutherford et al. 2014,School,RCT,Published,3-6,Low SES,All
Savage et al. 2013,Teacher/Class,RCT,Published,K-2,Not reported,All
Schmidt et al. 2020,School,RCT,Unpublished,3-6,Low SES,All
Schneider et al. 2021,School,RCT,Published,7-12,Not reported,All
Schoen et al. 2020,School,RCT,Unpublished,K-2,Low SES,All
Shechtman et al. 2019,School,RCT,Published,3-6,Average/High SES,All
Simmons et al. 2011,Teacher/Class,RCT,Published,K-2,Not reported,All
Sloan et al. 2018,School,RCT,Unpublished,K-2,Average/High SES,All
Smith et al. 2016,School,RCT,Published,K-2,Average/High SES,Specific
Somers et al. 2010,Student,RCT,Unpublished,7-12,Low SES,All
Somers et al. 2010,Student,RCT,Unpublished,7-12,Low SES,All
Song et al. 2021,School,RCT,Published,Mixed,Average/High SES,All
Speckesser et al. 2018,School,RCT,Unpublished,7-12,Average/High SES,All
Stevens & Slavin 1995,School,QED,Published,Mixed,Average/High SES,All
Stokes et al. 2018,School,RCT,Unpublished,K-2,Average/High SES,All
Styles et al. 2014,Student,RCT,Unpublished,3-6,Average/High SES,All
Sutherland et al. 2019,Teacher/Class,RCT,Unpublished,3-6,Average/High SES,All
Taylor et al. 2015,School,RCT,Published,7-12,Average/High SES,All
Thiede et al. 2018,School,RCT,Published,Mixed,Not reported,All
Thiede et al. 2018,School,RCT,Published,Mixed,Not reported,All
Thiede et al. 2018,School,RCT,Published,Mixed,Not reported,All
Thurston 2016,School,RCT,Unpublished,Mixed,Low SES,All
Tolan et al. 2020,Teacher/Class,RCT,Published,Mixed,Average/High SES,All
Vaughn et al. 2022,School,RCT,Published,3-6,Low SES,Specific
Vaughn et al. 2022,School,RCT,Published,3-6,Low SES,All
Vernon-Feagans et al. 2013,School,RCT,Published,K-2,Not reported,Specific
Vignoles et al. 2015,Teacher/Class,RCT,Unpublished,K-2,Average/High SES,All
Wakabayashi et al. 2020,School,RCT,Published,Pre-k,Not reported,All
West et al. 2016,School,RCT,Unpublished,Mixed,Low SES,All
Whittaker et al. 2020,Teacher/Class,RCT,Published,Pre-k,Not reported,All
Wiggins et al. 2017,Teacher/Class,RCT,Unpublished,Mixed,Average/High SES,All
Wiggins et al. 2019,School,RCT,Unpublished,7-12,Average/High SES,All
Wijekumar et al. 2009,School,RCT,Unpublished,3-6,Average/High SES,All
Wijekumar et al. 2017,Teacher/Class,RCT,Published,7-12,Average/High SES,All
Wolf et al. 2018,School,RCT,Unpublished,Mixed,Low SES,Specific
Wolf et al. 2018,School,RCT,Unpublished,Mixed,Low SES,Specific
Worth et al. 2015,School,RCT,Unpublished,K-2,Average/High SES,All
Worth et al. 2015,School,RCT,Unpublished,K-2,Average/High SES,All
Worth et al. 2017,School,RCT,Unpublished,7-12,Average/High SES,All
Wright et al. 2020,School,RCT,Unpublished,Pre-k,Average/High SES,All
Yang et al. 2020,School,RCT,Published,7-12,Low SES,All
Yang et al. 2020,School,RCT,Published,7-12,Low SES,All
